championName,summonerName,level,assists,creepScore,deaths,kills,wardScore,team
Karthus,plzhgdjTR,13,2,130,6,1,9.591684341430664,ORDER
Shaco,kemalylc06,10,2,80,6,4,14.564082145690918,ORDER
Yasuo,kuzeypro02,14,1,140,8,8,10.548635482788086,ORDER
Samira,kenpachixD,10,3,80,5,1,7.845648765563965,ORDER
Lux,Cekku,9,2,0,5,0,14.757201194763184,ORDER
Tryndamere,DeHSeT,15,4,150,2,5,11.440777778625488,CHAOS
Varus,piZZavenk51,12,10,140,1,7,9.751596450805664,CHAOS
Akali,vetelaaaaaaaaaaa,12,6,80,6,8,11.820406913757324,CHAOS
Kayn,Wesley Sneijder,12,4,50,3,5,12.04258918762207,CHAOS
Morgana,brk,11,8,10,2,5,16.9499454498291,CHAOS
