EventID,EventName,EventTime,KillerName,VictimName,Assisters,Recipient
0,GameStart,0.027362700551748276,,,,
1,MinionsSpawning,65.0212173461914,,,,
2,ChampionKill,284.3623352050781,vetelaaaaaaaaaaa,kuzeypro02,,
3,FirstBlood,284.3623352050781,,,,vetelaaaaaaaaaaa
4,ChampionKill,287.20635986328125,kemalylc06,vetelaaaaaaaaaaa,kuzeypro02,
5,ChampionKill,404.1419372558594,kemalylc06,piZZavenk51,"kenpachixD, Cekku",
6,ChampionKill,406.5987548828125,vetelaaaaaaaaaaa,Cekku,"piZZavenk51, brk",
7,ChampionKill,411.4038391113281,brk,kemalylc06,"piZZavenk51, vetelaaaaaaaaaaa, Wesley Sneijder",
8,ChampionKill,414.00390625,Wesley Sneijder,kenpachixD,"piZZavenk51, brk",
9,ChampionKill,421.2522277832031,kuzeypro02,Wesley Sneijder,"kemalylc06, kenpachixD",
10,ChampionKill,498.1501159667969,kuzeypro02,vetelaaaaaaaaaaa,,
11,ChampionKill,508.548095703125,DeHSeT,plzhgdjTR,,
12,ChampionKill,534.1604614257812,brk,Cekku,piZZavenk51,
13,ChampionKill,558.8394165039062,kuzeypro02,vetelaaaaaaaaaaa,,
14,HordeKill,590.6655883789062,Wesley Sneijder,,,
15,HordeKill,601.1920166015625,Wesley Sneijder,,DeHSeT,
16,HordeKill,608.419189453125,Wesley Sneijder,,DeHSeT,
17,ChampionKill,618.4964599609375,vetelaaaaaaaaaaa,kuzeypro02,piZZavenk51,
18,ChampionKill,621.9833984375,piZZavenk51,Cekku,vetelaaaaaaaaaaa,
19,ChampionKill,662.4760131835938,brk,kemalylc06,Wesley Sneijder,
20,ChampionKill,682.462890625,kuzeypro02,vetelaaaaaaaaaaa,plzhgdjTR,
21,ChampionKill,737.7088012695312,vetelaaaaaaaaaaa,kuzeypro02,Wesley Sneijder,
22,ChampionKill,782.252685546875,piZZavenk51,kemalylc06,brk,
23,DragonKill,792.7977294921875,Wesley Sneijder,,,
24,ChampionKill,813.332763671875,kuzeypro02,vetelaaaaaaaaaaa,,
25,ChampionKill,819.0693969726562,kuzeypro02,Wesley Sneijder,,
26,Multikill,819.0693969726562,kuzeypro02,,,
27,TurretKilled,847.0633544921875,kuzeypro02,,,
28,FirstBrick,847.0633544921875,kuzeypro02,,,
29,ChampionKill,852.3138427734375,DeHSeT,plzhgdjTR,,
30,ChampionKill,864.1272583007812,kemalylc06,DeHSeT,plzhgdjTR,
31,ChampionKill,866.7811279296875,vetelaaaaaaaaaaa,kuzeypro02,,
32,ChampionKill,887.1146850585938,kemalylc06,vetelaaaaaaaaaaa,,
33,ChampionKill,966.0634155273438,vetelaaaaaaaaaaa,kuzeypro02,,
34,ChampionKill,970.875244140625,piZZavenk51,kenpachixD,brk,
35,ChampionKill,1004.6002197265625,DeHSeT,plzhgdjTR,,
36,HeraldKill,1015.2542114257812,Wesley Sneijder,,"plzhgdjTR, kemalylc06, DeHSeT",
37,ChampionKill,1024.208251953125,Wesley Sneijder,kemalylc06,"DeHSeT, vetelaaaaaaaaaaa",
38,ChampionKill,1044.7652587890625,brk,Cekku,piZZavenk51,
39,ChampionKill,1047.05419921875,kenpachixD,brk,Cekku,
40,ChampionKill,1048.5216064453125,piZZavenk51,kenpachixD,,
41,ChampionKill,1052.78564453125,Wesley Sneijder,plzhgdjTR,DeHSeT,
42,TurretKilled,1066.8250732421875,DeHSeT,,Wesley Sneijder,
43,TurretKilled,1093.2716064453125,Minion_T100L1S34N0211,,,
44,ChampionKill,1104.9395751953125,Wesley Sneijder,kuzeypro02,"DeHSeT, piZZavenk51, brk",
45,ChampionKill,1124.468994140625,piZZavenk51,kemalylc06,DeHSeT,
46,ChampionKill,1131.3790283203125,piZZavenk51,kenpachixD,"vetelaaaaaaaaaaa, brk",
47,Multikill,1131.3790283203125,piZZavenk51,,,
48,ChampionKill,1135.2364501953125,plzhgdjTR,brk,"kemalylc06, kenpachixD",
49,DragonKill,1160.6986083984375,Wesley Sneijder,,DeHSeT,
50,ChampionKill,1172.3392333984375,Wesley Sneijder,Cekku,piZZavenk51,
51,ChampionKill,1174.9952392578125,kuzeypro02,DeHSeT,,
52,ChampionKill,1194.05859375,kuzeypro02,Wesley Sneijder,,
53,ChampionKill,1209.2435302734375,vetelaaaaaaaaaaa,kuzeypro02,"piZZavenk51, brk",
54,ChampionKill,1237.4744873046875,piZZavenk51,kenpachixD,"vetelaaaaaaaaaaa, brk",
55,ChampionKill,1251.491455078125,DeHSeT,plzhgdjTR,,
56,TurretKilled,1256.2215576171875,piZZavenk51,,brk,
57,ChampionKill,1281.5504150390625,vetelaaaaaaaaaaa,kemalylc06,Wesley Sneijder,
58,ChampionKill,1302.12451171875,brk,kuzeypro02,"piZZavenk51, vetelaaaaaaaaaaa",
59,TurretKilled,1312.076904296875,DeHSeT,,,
60,ChampionKill,1317.681396484375,DeHSeT,plzhgdjTR,,
