blueWins,blueWardsPlaced,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueTotalMinionsKilled,redWardsPlaced,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redTowersDestroyed,redAvgLevel,redTotalMinionsKilled
0,28,1,9,6,11,0,0,0,6.6,195,15,0,6,9,8,0,0,0,6.8,197
0,12,0,5,5,5,0,0,0,6.6,174,12,1,5,5,2,1,1,1,6.8,240
0,15,0,7,11,4,1,0,0,6.4,186,15,1,11,7,14,0,0,0,6.8,203
0,43,0,4,5,5,0,1,0,7.0,201,15,1,5,4,10,0,0,0,7.0,235
0,75,0,6,6,6,0,0,0,7.0,210,17,1,6,6,7,1,0,0,7.0,225
1,18,0,5,3,6,1,0,0,7.0,225,36,1,3,5,2,0,0,0,7.0,221
1,18,1,7,6,7,1,0,0,6.8,225,57,0,6,7,9,0,0,0,6.4,164
0,16,0,5,13,3,0,0,0,6.4,209,15,1,13,5,11,1,0,0,6.6,157
0,16,0,7,7,8,0,0,0,7.2,189,15,1,7,7,5,1,1,0,7.2,240
1,13,1,4,5,5,1,0,0,6.8,220,16,0,5,4,4,0,0,0,6.8,247
0,20,1,4,4,6,0,0,0,6.6,231,15,0,4,4,5,1,0,0,7.2,216
0,33,1,11,11,7,0,1,0,7.0,157,17,0,11,11,9,0,0,0,7.0,188
1,18,1,7,1,11,1,0,0,7.4,238,12,0,1,7,1,0,0,0,6.8,240
0,14,0,4,9,1,0,1,0,6.6,210,20,1,9,4,11,0,0,0,7.2,229
1,15,1,4,4,4,0,0,0,6.8,224,102,0,4,4,3,0,0,0,7.0,242
0,17,0,3,7,3,0,0,0,6.8,209,18,1,7,3,13,0,0,0,7.2,237
1,14,1,10,2,8,0,0,0,7.6,263,13,0,2,10,2,1,0,0,6.8,210
0,43,0,3,7,3,0,1,0,6.8,203,17,1,7,3,6,0,0,0,6.8,218
1,21,1,5,4,11,0,0,0,6.8,213,19,0,4,5,3,1,1,0,6.6,228
0,11,0,5,9,5,0,0,0,7.0,188,15,1,9,5,9,0,0,0,7.4,219
1,14,1,11,6,15,1,0,0,7.2,214,12,0,6,11,4,0,0,0,7.0,225
0,13,0,4,13,5,0,0,0,6.8,203,15,1,13,4,14,1,0,0,7.2,209
0,17,0,4,6,3,0,0,0,7.0,238,16,1,6,4,10,1,0,0,7.0,231
0,78,0,4,3,4,1,1,0,6.8,238,15,1,3,4,3,0,0,0,7.0,220
1,33,0,6,9,10,0,0,0,6.8,208,18,1,9,6,13,0,0,0,6.6,197
0,17,0,4,8,4,0,0,0,6.2,204,19,1,8,4,13,1,0,0,7.0,221
1,18,0,8,6,9,1,0,0,7.0,209,10,1,6,8,3,0,0,0,6.8,233
0,19,1,7,4,9,0,0,0,7.0,228,14,0,4,7,2,1,0,0,6.6,202
0,105,1,8,6,13,1,0,0,6.8,217,65,0,6,8,11,0,0,0,6.8,223
0,18,0,3,8,2,1,0,0,6.8,233,18,1,8,3,12,0,0,0,7.4,225
1,22,1,9,4,10,1,0,0,7.0,228,21,0,4,9,2,0,0,0,6.2,227
1,17,1,5,2,6,1,1,0,6.8,218,15,0,2,5,2,0,0,0,6.4,206
0,12,0,6,4,7,0,0,0,6.8,203,19,1,4,6,4,1,0,0,6.8,206
0,15,1,5,4,4,0,0,0,6.8,201,14,0,4,5,4,1,0,0,6.8,222
1,40,0,6,4,4,0,0,0,7.4,204,15,1,4,6,5,1,0,0,7.2,223
0,24,0,3,4,6,0,0,0,6.8,235,17,1,4,3,7,1,1,0,6.8,218
0,12,0,2,8,2,1,0,0,7.2,217,14,1,8,2,5,0,0,0,7.4,234
0,20,1,5,6,4,0,1,0,6.8,203,40,0,6,5,6,1,0,0,7.0,214
0,11,0,7,9,5,0,1,0,7.2,234,18,1,9,7,9,1,0,0,7.0,227
0,18,0,3,6,3,0,1,0,6.6,213,36,1,6,3,6,1,0,0,7.0,236
0,28,0,4,11,3,0,0,0,6.8,222,41,1,11,4,16,1,0,0,7.2,213
1,36,0,10,6,12,0,0,0,7.4,231,16,1,6,10,7,0,0,0,7.0,185
1,18,0,9,6,14,1,0,0,6.8,204,17,1,6,9,6,0,0,0,6.8,194
1,12,1,5,5,3,0,0,0,6.6,233,19,0,5,5,4,0,0,0,7.0,221
0,18,1,3,4,2,0,1,0,7.4,252,39,0,4,3,2,1,0,0,7.0,243
0,41,0,1,10,0,0,0,0,6.4,187,12,1,10,1,6,0,1,1,7.2,247
1,14,1,11,2,9,0,0,0,7.6,251,15,0,2,11,2,0,0,0,6.4,196
1,19,1,8,4,5,1,0,1,7.0,218,13,0,4,8,5,0,0,0,6.8,200
1,15,0,2,3,2,0,1,0,6.6,180,12,1,3,2,1,0,0,0,6.8,218
0,16,0,5,5,8,0,0,0,6.8,206,38,1,5,5,6,0,0,0,7.2,241
0,14,0,7,9,5,0,0,0,6.6,209,22,1,9,7,13,1,0,0,6.8,206
1,18,0,6,8,6,0,0,0,7.0,213,12,1,8,6,7,0,0,0,7.0,182
1,22,1,5,2,2,1,1,0,7.0,217,16,0,2,5,1,0,0,0,7.0,212
1,37,1,5,3,5,0,0,0,7.4,248,15,0,3,5,5,1,0,0,7.0,210
0,14,0,3,3,2,1,0,0,7.0,246,20,1,3,3,1,0,0,0,7.2,227
0,16,0,4,10,4,0,1,0,7.0,224,30,1,10,4,11,1,0,0,7.4,201
0,17,1,5,7,7,1,0,0,6.8,181,14,0,7,5,6,0,0,0,7.4,218
1,19,1,10,6,11,1,0,0,7.2,213,18,0,6,10,5,0,0,0,6.8,234
1,29,1,7,5,5,1,1,0,7.0,222,14,0,5,7,4,0,0,0,6.8,247
0,12,0,10,7,11,0,0,1,7.2,236,20,1,7,10,6,1,0,0,6.6,182
0,18,0,2,7,0,0,0,0,6.6,191,18,1,7,2,4,1,0,0,6.8,218
0,24,0,6,7,5,0,0,0,7.0,208,17,1,7,6,10,1,0,0,6.8,207
1,18,1,6,4,4,1,0,0,7.2,229,36,0,4,6,5,0,1,0,7.2,232
1,122,1,9,1,10,1,1,0,7.2,229,14,0,1,9,1,0,0,0,6.4,233
0,12,0,4,10,3,1,0,0,6.6,203,16,1,10,4,6,0,0,0,7.4,224
0,52,0,6,12,7,0,0,0,6.6,188,15,1,12,6,11,0,1,1,7.4,240
0,19,0,4,5,2,0,0,0,7.0,210,11,1,5,4,1,0,0,0,7.2,227
0,32,1,7,8,8,1,0,0,6.8,212,24,0,8,7,5,0,1,0,7.0,200
1,14,0,3,5,3,0,0,0,7.0,233,11,1,5,3,6,1,0,0,6.8,234
0,19,1,4,5,4,0,0,0,6.8,198,18,0,5,4,5,1,0,0,7.0,241
0,16,1,9,8,7,0,1,0,7.0,202,13,0,8,9,11,1,0,1,7.0,199
1,36,1,5,4,6,0,0,0,6.8,200,12,0,4,5,3,1,0,0,6.6,186
0,18,1,8,2,11,0,0,0,7.0,232,13,0,2,8,2,1,0,0,6.6,208
0,13,1,2,7,1,1,0,0,6.6,204,12,0,7,2,7,0,0,0,6.8,192
1,15,1,6,4,4,1,0,0,7.2,242,15,0,4,6,3,0,1,0,7.0,205
1,50,1,6,4,8,1,1,0,6.8,200,48,0,4,6,8,0,0,0,6.6,169
0,14,0,4,6,1,0,0,0,7.0,221,15,1,6,4,5,1,1,0,7.2,226
1,17,1,8,4,7,0,1,0,6.6,212,13,0,4,8,5,0,0,0,6.4,180
1,18,0,13,9,18,1,0,0,7.4,232,12,1,9,13,5,0,0,0,7.0,216
0,17,0,7,6,12,0,0,0,7.2,242,52,1,6,7,9,1,1,0,6.8,198
0,43,1,11,4,12,0,1,0,7.4,256,16,0,4,11,6,1,0,0,7.2,210
0,12,0,6,6,10,1,0,0,6.6,204,13,1,6,6,3,0,1,0,7.0,241
0,20,0,7,8,6,0,1,0,7.0,199,42,1,8,7,6,1,0,0,6.8,178
1,18,0,9,8,7,1,0,0,7.0,235,16,1,8,9,8,0,0,0,7.0,207
1,16,0,10,10,14,1,0,0,7.0,208,15,1,10,10,16,0,0,0,7.0,210
1,14,0,7,2,12,1,1,0,7.2,261,25,1,2,7,3,0,0,0,6.8,220
0,12,0,1,6,0,0,0,0,6.8,241,53,1,6,1,3,1,0,0,7.0,218
1,16,0,5,8,7,1,0,0,6.6,201,19,1,8,5,6,0,0,0,7.2,248
1,15,0,10,4,12,0,0,0,7.4,232,12,1,4,10,4,0,0,0,6.6,247
0,13,0,3,10,2,1,0,0,6.6,210,20,1,10,3,13,0,1,0,7.4,200
0,83,1,7,11,3,0,0,0,6.4,194,35,0,11,7,7,1,0,0,7.2,216
0,17,1,3,5,2,0,0,0,7.2,236,33,0,5,3,6,1,1,0,6.8,233
1,16,1,9,2,5,0,0,0,7.2,223,14,0,2,9,2,1,0,0,6.6,213
1,14,1,7,7,6,0,0,1,7.2,257,19,0,7,7,10,1,0,0,6.6,145
0,14,0,7,7,10,1,0,0,7.2,209,16,1,7,7,7,0,0,0,7.4,255
0,17,0,5,10,6,0,0,0,7.0,213,16,1,10,5,15,1,0,0,7.0,214
1,16,1,5,4,9,0,0,0,6.8,247,17,0,4,5,5,1,0,0,7.0,203
1,40,0,6,8,10,0,1,0,7.2,250,12,1,8,6,11,1,0,0,7.0,186
1,16,0,11,6,11,1,1,0,7.4,242,14,1,6,11,9,0,0,0,7.0,203
0,16,0,5,8,4,0,1,0,6.8,227,11,1,8,5,11,0,0,0,7.0,186
0,16,1,6,8,2,1,0,0,6.6,224,20,0,8,6,9,0,0,0,7.0,210
0,14,0,4,6,4,0,0,0,6.6,209,17,1,6,4,7,1,0,0,7.0,231
0,13,0,6,7,2,0,0,0,6.6,199,17,1,7,6,5,1,1,0,7.0,212
0,18,0,8,3,7,0,1,0,7.2,252,15,1,3,8,2,1,0,0,6.6,225
0,24,0,8,11,9,0,0,0,7.0,222,13,1,11,8,13,1,1,0,7.0,215
0,12,0,6,4,8,1,0,0,7.0,248,16,1,4,6,4,0,1,0,6.8,207
1,17,0,6,14,4,0,0,0,6.6,200,16,1,14,6,9,1,0,0,7.6,227
0,19,0,3,5,1,0,0,0,7.2,233,16,1,5,3,7,1,0,0,7.0,216
1,12,1,9,5,9,0,0,0,7.0,221,14,0,5,9,3,1,1,0,6.8,208
1,14,0,6,4,6,1,0,0,7.4,211,14,1,4,6,2,0,0,0,7.0,204
1,19,1,2,7,2,1,0,0,7.0,231,17,0,7,2,14,0,1,0,6.8,211
0,16,0,5,10,3,1,1,0,6.8,232,15,1,10,5,6,0,0,0,7.4,236
1,18,0,12,9,10,0,0,0,6.4,143,12,1,9,12,9,0,0,0,6.2,181
0,17,1,9,17,17,0,0,0,6.2,187,31,0,17,9,21,0,0,0,7.0,211
1,32,1,12,6,12,1,0,0,7.2,202,16,0,6,12,7,0,0,0,6.6,210
0,16,1,7,9,5,1,1,0,7.0,228,34,0,9,7,7,0,0,0,7.4,230
1,19,1,7,10,7,0,0,0,6.8,227,17,0,10,7,11,0,0,0,7.2,231
1,14,1,6,4,12,1,0,0,6.8,224,102,0,4,6,4,0,0,0,7.0,217
0,12,0,2,6,1,0,0,0,6.8,196,14,1,6,2,4,1,0,0,7.0,266
0,30,1,5,5,7,0,1,0,6.8,217,16,0,5,5,6,1,0,0,6.4,233
0,18,0,8,8,8,1,0,0,7.0,229,18,1,8,8,6,0,1,0,7.0,198
0,14,0,3,9,2,0,0,0,6.4,213,42,1,9,3,8,1,0,0,7.6,255
1,14,0,9,8,10,1,0,0,7.0,192,19,1,8,9,8,0,1,0,7.2,209
1,13,1,10,7,10,0,0,0,7.2,207,14,0,7,10,5,1,0,0,7.0,231
0,16,0,3,10,2,0,0,0,6.8,193,17,1,10,3,11,1,0,0,7.4,245
1,38,1,9,7,11,1,0,0,7.0,205,14,0,7,9,9,0,0,0,6.8,215
1,40,0,7,14,6,1,0,0,6.2,183,13,1,14,7,12,0,0,0,7.2,219
1,18,0,5,3,6,1,0,0,7.2,240,39,1,3,5,5,0,0,0,6.8,230
0,40,0,6,7,6,0,0,0,6.8,212,17,1,7,6,7,0,1,0,7.2,211
1,18,0,7,5,6,0,0,0,6.8,215,35,1,5,7,5,0,0,0,6.8,197
1,17,0,7,1,8,0,0,0,7.2,226,35,1,1,7,0,1,0,0,6.6,217
1,15,1,6,3,11,1,0,0,7.0,241,38,0,3,6,3,0,0,0,6.8,229
1,18,1,4,4,4,0,0,0,7.0,215,15,0,4,4,1,1,0,0,7.0,227
1,43,1,4,7,4,1,0,0,6.4,226,23,0,7,4,12,0,0,0,7.2,205
0,13,0,5,7,4,0,0,0,6.4,191,62,1,7,5,10,1,0,0,7.0,216
1,13,0,6,9,2,1,0,0,7.0,228,17,1,9,6,13,0,0,0,6.8,143
1,20,1,9,7,15,1,0,0,6.6,199,12,0,7,9,8,0,1,0,6.8,225
1,15,1,12,4,9,0,1,0,7.2,227,15,0,4,12,1,1,0,0,6.6,191
1,17,0,5,5,6,0,0,0,7.2,223,38,1,5,5,7,1,0,0,6.8,226
0,28,0,3,4,3,1,0,0,6.4,211,16,1,4,3,5,0,1,0,6.4,208
0,12,1,4,9,5,0,0,0,6.4,192,18,0,9,4,15,0,0,0,6.4,194
0,87,0,4,15,4,0,0,0,6.2,183,10,1,15,4,14,0,0,0,7.4,201
1,15,1,7,6,7,0,0,0,7.2,251,17,0,6,7,4,1,1,0,7.2,190
0,15,1,5,7,2,0,0,0,6.4,172,13,0,7,5,3,0,0,0,6.8,219
1,23,0,10,5,16,0,0,0,6.4,192,37,1,5,10,6,1,1,0,6.6,199
1,18,1,12,4,15,0,0,0,7.2,206,14,0,4,12,3,0,0,0,6.8,216
